model,accuracy,precision,recall,f1,roc_auc
LightGBM,0.9992191770125712,0.999031007751938,0.999031007751938,0.999031007751938,0.9999940950648935
XGBoost,0.9986726009213711,0.9978702807357211,0.9988372093023256,0.9983535108958838,0.9999868469471233
Random Forest,0.9945342390879988,0.9926442121564073,0.993798449612403,0.9932209955452257,0.9998639837479967
Logistic Regression,0.9794643554306238,0.97405614714424,0.975,0.9745278450363196,0.9985798250922742
