,risk_score
vpd_max,0.945386557032346
dry_air_index,0.941017585657226
et0,0.9189490013049577
humidity,-0.9118182669641203
temp_mean,0.901701739100541
temp_max,0.9015810305086973
humidity_3d_avg,-0.8862001297786921
et0_7d_sum,0.884234529330968
vpd_7d_avg,0.8841051911474774
temp_3d_avg,0.8756649739433775
cumulative_heat_stress,0.8746691281141945
heat_humidity_ratio,0.8707645549326518
humidity_7d_avg,-0.8588168781113733
temp_7d_avg,0.8416492872619832
wind_drought_index,0.77692448394449
